UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:03776444n,bn:02611998n,bn:14835545n,bn:00443355n,bn:17397569n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01402703n,bn:03302666n,bn:14076546n,bn:02434184n,bn:00950960n;band;5;true;true;0.224;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:01972948n,bn:03630287n,bn:00493480n,bn:00926843n,bn:00702575n;band;5;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:02524354n,bn:01182267n,bn:01897978n,bn:16577269n,bn:02314760n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:01206710n,bn:04000276n,bn:00443648n,bn:00507250n,bn:02463941n;band;5;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02395674n,bn:18135456n,bn:00797521n,bn:15878982n,bn:01964435n;band;5;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n)
bn:01987640n,bn:01032847n,bn:03845883n,bn:02587097n,bn:06495680n;band;5;true;true;0.219;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n)
bn:01093949n,bn:01714536n,bn:03125893n,bn:16085487n,bn:03315891n;band;5;true;true;0.22;0.06;0.05;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:16463068n,bn:00348999n,bn:03319121n,bn:02053786n,bn:02958097n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00611111n,bn:14065800n,bn:03145466n,bn:08943573n,bn:16885635n;band;5;true;true;0.219;0.06;0.06;0.0;INSTANCE_OF(X, bn:00008280n)
bn:00422879n,bn:03442195n,bn:08733475n,bn:02187061n,bn:02648634n;band;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01678434n,bn:16392645n,bn:03295947n,bn:01265734n,bn:03428809n;band;5;true;true;0.219;0.06;0.05;0.01;INSTANCE_OF(X, bn:00008280n)
bn:03496438n,bn:15484775n,bn:01015535n,bn:01622546n,bn:03089842n;band;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03654774n,bn:00928664n,bn:03321166n,bn:00134964n,bn:15890942n;band;5;true;true;0.216;0.06;0.05;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01996624n,bn:14758918n,bn:00612272n,bn:02818301n,bn:02279072n;band;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:00379290n,bn:02343472n,bn:01015563n,bn:16776127n,bn:07784989n;band;5;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:03898562n,bn:01355593n,bn:01041805n,bn:03187203n,bn:17051587n;band;5;true;true;0.22;0.06;0.05;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03703872n,bn:13578993n,bn:03096538n,bn:01985334n,bn:03424682n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:17904725n,bn:00616225n,bn:03602154n,bn:00781426n,bn:01012717n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02473588n,bn:01987387n,bn:16523089n,bn:03116851n,bn:15868308n;band;5;true;true;0.223;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:15398641n,bn:03729052n,bn:02434910n,bn:00609034n,bn:01335117n;band;5;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:10533283n,bn:00421399n,bn:18164407n,bn:02800000n,bn:14888992n;band;5;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:16168628n,bn:00929653n,bn:01703853n,bn:03417772n,bn:01966134n;band;5;true;true;0.219;0.06;0.06;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:14175778n,bn:03291418n,bn:03844721n,bn:03740735n,bn:03134656n;band;5;true;true;0.109;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n)
