UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:00575815n,bn:00298864n,bn:17460430n,bn:01597827n,bn:16532750n,bn:03972933n;film;6;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:03776360n,bn:01979581n,bn:14579629n,bn:13861801n,bn:03596161n,bn:02279904n;film;6;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:00863195n,bn:01622765n,bn:01909943n,bn:03103897n,bn:02077889n,bn:02214621n;film;6;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:14138343n,bn:00339385n,bn:17410772n,bn:14471978n,bn:04744396n,bn:02711188n;film;6;true;true;0.222;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n)
bn:02005618n,bn:08865138n,bn:02295446n,bn:01286024n,bn:00960796n,bn:14222499n;film;6;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:17699254n,bn:01662532n,bn:04857753n,bn:03830217n,bn:02782806n,bn:01528528n;film;6;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n)
bn:03599585n,bn:04086178n,bn:00660686n,bn:15812647n,bn:02020931n,bn:02178358n;film;6;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:03242895n,bn:02877044n,bn:01487660n,bn:01045891n,bn:01067152n,bn:10918350n;film;6;true;true;0.223;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), CAST_MEMBER(X, y_1), DIRECTOR(X, y_2)
bn:03647737n,bn:02650568n,bn:01108956n,bn:17793104n,bn:00236490n,bn:03087906n;film;6;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:13925946n,bn:16515314n,bn:17405176n,bn:17521591n,bn:14380496n,bn:01317215n;film;6;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0)
bn:01731467n,bn:16654763n,bn:03408824n,bn:02523445n,bn:00333752n,bn:03760550n;film;6;true;true;0.22;0.05;0.04;0.01;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), DIRECTOR(X, y_2)
bn:02158348n,bn:17670065n,bn:02940896n,bn:08448862n,bn:00195554n,bn:00831169n;film;6;true;true;0.221;0.05;0.04;0.01;INSTANCE_OF(X, bn:00034471n), CAST_MEMBER(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:04151188n,bn:01254499n,bn:00655017n,bn:14324728n,bn:16572165n,bn:03595936n;film;6;true;true;0.218;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:02268034n,bn:02762913n,bn:03504055n,bn:02494376n,bn:14438732n,bn:00776201n;film;6;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:00597889n,bn:17645316n,bn:03849096n,bn:02523536n,bn:06838173n,bn:03161403n;film;6;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0)
bn:02479469n,bn:03890386n,bn:08998714n,bn:03615783n,bn:02883767n,bn:00853774n;film;6;true;true;0.219;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), DIRECTOR(X, y_2)
bn:03890415n,bn:15819513n,bn:16662830n,bn:03722856n,bn:21291729n,bn:03214580n;film;6;true;true;0.22;0.05;0.04;0.01;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:02376106n,bn:03619461n,bn:13881582n,bn:03379295n,bn:17358059n,bn:02299224n;film;6;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), CAST_MEMBER(X, y_2)
bn:09028932n,bn:03509796n,bn:08239300n,bn:18267393n,bn:17555773n,bn:06832812n;film;6;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:17618619n,bn:00613870n,bn:04803602n,bn:01393985n,bn:01390198n,bn:00484153n;film;6;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:02061965n,bn:02770744n,bn:00374338n,bn:02458007n,bn:01006243n,bn:09505899n;film;6;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:15785187n,bn:00867755n,bn:00410576n,bn:05608093n,bn:00677050n,bn:17999894n;film;6;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:17147660n,bn:01827296n,bn:16503054n,bn:02181171n,bn:00467412n,bn:03675010n;film;6;true;true;0.22;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:02259928n,bn:03889651n,bn:03169992n,bn:21636993n,bn:15397091n,bn:02477753n;film;6;true;true;0.218;0.06;0.05;0.01;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
